_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng
asset_036db50b77,3,Federal Ministry of Agriculture And Rural Development,Office Building,Abuja,AMAC,"Kapital Road, Area 11",Federal Capital Territory Adminstration,,,9.0552729,7.4662595
asset_f8a053571e,4,Vetinary Council Of Nigeria (VCN),Office Building,"FCT, Abuja",AMAC,"Plot 8, Zambezi Crescent, Maitama,",National Board for Technology Incubation,,,9.0797656,7.4906207
asset_a96e3b2a5f,8,Nigerian Agricultural Insurance CorporationÃ‚Â (NAIS),Office Building,"FCT, Abuja",AMAC,"Plot 950 Zone A.O Central Area, Abuja",Nigerian Integrated Water Resources management Commission,,,9.0552729,7.4662595
asset_9eb00765e6,9,Nigeria Agricultural Seed Council,Office Building,"FCT, Abuja",AMAC,"Km 29, Abuja-Lokoja Expressway

Sheda, FCT",ASCA Oil Tank Farm,,,9.0552729,7.4662595
asset_9945f0124c,10,National Centre For Agricultural MechanizationÃ‚Â (NCAM),Office Building,Kwara,Ilorin,"Km 20 Ilorin- Lokoja Highway, Idofian, 240103, Ilorin,",Famtech Communications,,,8.4963657,4.5480484
asset_322b908d69,11,Nigeria Institute Of Animal ScienceÃ‚Â (NIAS),Office Building,"FCT, Abuja",AMAC,Plot 1882 C13 Kabusa,Breden Luxury Estate II,,,9.0552729,7.4662595
asset_fc7fe5dca3,13,National Agricultural Land Development Authority (NALDA),Office Building,"FCT, Abuja",AMAC,"Area 11, Plot 802 Tafawa Balewa, Malumfashi Cl",Garki Hospital,,,9.0552729,7.4662595
asset_0ac22b4510,14,Agricultural Research Council Of Nigeria (ARCN),Office Building,"FCT, Abuja",AMAC,"Plot 223D, Cadestral Zone B6 Mabushi",Stanbic IBTC Bank,,,9.0552729,7.4662595
asset_64895873c1,15,Federal College Of Forestry,Office Building,Oyo,Ibadan,"Jericho St, Jericho 200284, Ibadan",Foodco Supermarket,,,7.4060577,3.8467468
asset_4dc476b382,16,Chad Basin National Park,Office Building,Borno,Maiduguri,"R489+VW8, 600282, Maiduguri",INEC Office,,,11.8395375,13.1536214
asset_17163bdc88,17,Cocoa Research Institute Of Nigeria,Office Building,Oyo,Ibadan,"21b Aba Akinjide Rd, Agodi 200285, Ibadan",Pauls Anglican Primary School,,,7.3786064,3.8969928
asset_ea2b4664e7,18,College Of Forestry Mechanisation,Office Building,Kaduna,Afaka,Kaduna pmb 2312,Sabon Gida Mosque,,,10.5182899,7.4359863
asset_af985ca605,19,Cross River National Park,Office Building,Cross River,Calabar,669 Ikom-Abanliko Rd,Basua,,,4.9795999,8.3373597
asset_9535e22195,20,Federal Agricultural Co-Ordinating Unit (FACU) Headquarters,Office Building,Abuja,AMAC,"31 Lokoja St, Garki 900103, Abuja",NEM Insurance,,,9.0552729,7.4662595
asset_4e835ab237,21,Federal Agricultural Co-Ordinating Unit (FACU),Office Building,Abuja,Sheda,"2FMQ+76F, Abuja-Lokoja Expressway, Gwagwalada Cl, 900103, Abuja",X-pert Hotels,,,9.0643305,7.4892974
asset_487d7e072d,22,Federal College of Agriculture,Office Building,Ondo,Akure,"School of Agric Road, 340106, Akure",Otunba Furniture,,,7.2525595,5.1932647
asset_e0b027142c,24,Federal College of Fisheries and Marine Technology (FCTMT),Office Building,Lagos,Victoria Island,"Wilmot Point Rd, Victoria Island 106104, Lagos",Japanese Hotel,,,6.4219919,3.4089107
asset_c51118fd6f,26,Federal College of Veterinary Research,Office Building,Plateau,Vom Jos,"National Veterinary Research Institute, 930101, Vom",Federal college of Animal Health,,,9.6666095,8.7333418
asset_c356e1c8c8,27,Federal College of Wildlife Management,Office Building,Niger,Bussa,"VGM9+VX8, 912106, New Bussa",New Bussa Baptist Primary School,,,10.230833,4.475278
asset_75fa41e593,28,Federal Superphosphate Fertilizer Company,Office Building,Kaduna,Kaduna,"4 Nassarawa Road, Industrial Area, P. M. B 2203 Kaduna Kaduna",Salam Salam Islamic Society Of Nig.,,,10.5182899,7.4359863
asset_2a6df6bf3a,32,International Institute for Tropical Agriculture (IITA),Office Building,Oyo,Ibadan,"IITA Entrance Rd, 200136, Ibadan",Idi Ose Bus stop,,,7.3786064,3.8969928
asset_2b901c46dc,33,Kainji Lake National Park,Office Building,Niger,Bussa,"912106, New Bussa",Odeku Shopping Centre,,,10.230833,4.475278
asset_69360a245e,34,Lake Chad Research Institute,Office Building,Borno,Maiduguri,"Kilometer 5 along Ngala Road, Gamboru 600282, Lagos",Community health and social development centre,,,11.8395375,13.1536214
asset_07dc56cf4d,36,National Centre for Agricultural Mechanization (NCAM),Office Building,Kwara,Ilorin,"Km 20 Ilorin- Lokoja Highway, Idofian, 240103, Ilorin, Kwara",Ideal Speech Phonics Tutor,,,8.4963657,4.5480484
asset_550dc14538,37,National Cereals Research Institute (NCRI),Office Building,Niger,Bida,"344V+P9M, 912104, Badeggi",Badeggi link rice and resources nigeria limited,,,9.083333,6.016667
asset_653851a784,38,National Horticultural Research Institute,Office Building,Oyo,Idi Ishin,"P.M.B. 5432, Jericho Reservation Area, Ibadan",GG Fashion College,,,7.4098194,3.8575478
asset_bd54acbbf4,41,National Park Services,Office Building,Abuja,AMAC,"Umaru Musa Yaradua Expressway, 900231, Abuja",Chivik International School,,,9.0552729,7.4662595
asset_02b3158eea,42,National Root Crops Research Institute (NRCRI) Umudike,Office Building,Abia,Umudike,"FGMR+4Q9, 440101, Umudike",Chimex Less Privilieged Foundation,,,5.5,7.533333
asset_1079ff4e36,43,National Water Research Institute (NWRI),Office Building,Kaduna,Kaduna,"Sabon Gida 802151, Sabon Gida",Babangida Amanda,,,10.5182899,7.4359863
asset_489fdbe723,44,Nigeria Institute for Oil Palm Research (NIFOR),Office Building,Edo,Benin,"pmb 1030 ugbowo post office, 300271, Benin City",Gods Own Anointed Church,,,6.3330586,5.6221058
asset_9ff9f8649f,46,Nigerian Agricultural Cooperative and Rural Development Bank (NACRDB),Office Building,Kaduna,Kaduna,"1 Yakubu Gowon Way, Sabon Gari 800283, Kaduna",Chicken Republic,,,10.5182899,7.4359863
asset_c0a067b335,47,Nigerian Agricultural Insurance Corporation (NAIC),Office Building,Abuja,AMAC,"Plot 590 Zone A.O. Central Area, Abuja",Novateur Nigeria,,,9.0552729,7.4662595
asset_86f62ba6d6,48,Old Oyo National Park,Office Building,Oyo,Ibadan,"9RHF+6WG, Bayo, Ibadan",Oloko,,,7.3786064,3.8969928
asset_0a9901adf3,49,Rubber Research Institute of Nigeria,Office Building,Edo,Benin,"Off KM 19, Benin/Sapele Highway, Iyanomo, P.M.B, 1049, Benin City",Habib Bank,,,6.3330586,5.6221058
asset_b25db298ec,,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,Office Building,,,,,,,,
asset_d25e8b928e,53,Federal Ministry Of Labour And Productivity Headquarters,Office Building,Abjua,AMAC,"2nd Floor, Phase 1 Fed. Secretariat Complex Shehu Shagari WayP.M.B 04, Central Business District, Abuja, FCT",Federal Ministry of Health,,,,
asset_3dc5888ac4,54,Federal Ministry Of Labour And Productivity,Office Building,Lagos,Island,"G94J+WGV, Lancaster St, Onike 101245, Lagos",Queens College yaba,,,6.434344,3.4095965
asset_dc914df4d5,56,National Productivity Center,Office Building,Abuja,AMAC,"7 Cape Town, Wuse 904101, Abuja",Newton Park Hotel and Resort,,,9.0654371,7.4739825
asset_e213fbe00a,57,National Directorate of Employment,Office Building,Abuja,AMAC,"1529 Nouakchott St, Wuse 904101, Abuja",Unity Bank,,,9.0512722,7.4640858
asset_fbe1151e7a,58,Michael Imodu Institute Of Labour Studies,Office Building,kwara,illorin,"Km 7 Olunlade Village, Ajasse-Ipo Road, 240102, Ilorin, Kwara State",Bovas Filling Station,,,8.5397417,4.5223167
asset_9ce8a7e94e,59,Industrial Arbitration Panel,Office Building,Abjua,AMAC,"Future View Plaza, Plot 259 Samuel Ademulegun Ave, opposite National Mosque, Municipal 900107, Abuja",National Mosque,,,,
asset_0ea965e3aa,60,Nigeria Social Insurance Trust Fund (NSITF),Office Building,Abuja,AMAC,"Plot 794, Mohammadu Buhari Way, Central Business Area, P.M.B. 446, Mohammadu Buhari Way, Garki, Abuja",Galazy Investment,,,9.0552729,7.4662595
asset_463c765468,63,Federal Ministry Of Labour And Employment,Mixed Use,Bauchi,Bauchi,"Yelwa road, Bauchi",Shafat Filling Station,,,10.2783566,9.7948111
asset_60f69a5bfc,64,Federal Ministry Of Labour And Employment,Land,Edo,Oredo,"Off Siluko road, Evbuotubo","Police Station, Evbuotubo",1982,,6.2297631,5.5617902
asset_62b375c496,65,Federal Ministry Of Labour And Employment,Office Building,Borno,Maiduguri South,"Sir Kassim Ibrahim road, Abbaganara",New Prison,1976,,12.492626,12.785386
asset_409862953f,66,Federal Ministry Of Labour And Employment,Skill Acquisition Centre,Delta,Warri North,Okere Road,Igbo Market,1982,,5.5172686,5.7483171
asset_5f79e42649,69,Federal Ministry Of Labour And Employment,School/Vocational Training Institute,Enugu,Enugu East,"Km 3, Enugu-Abakaliki Expressway, Emene, Enugu","Nkpologu bus stop, after airport road flyover, before Innoson motors",Ongoing,,6.5483445,7.5568359
asset_b75bcd22f2,70,Federal Ministry Of Labour And Employment,Office Building,Kaduna,Kaduna North,"Ibadan Street, Kaduna",Mugaji Gari Secretairiat,,,10.5116673,7.4315542
asset_d6c2ccfc73,74,Federal Ministry Of Labour And Employment,Office Building,Kogi,Lokoja,"No.11 Labour Road, Adankolo","Adankolo Market, UBA",1974,,7.802355,6.7430327
asset_23c0a1b51b,77,Federal Ministry Of Labour And Employment,Office Building,Lagos,Etiosa,"14, Ikoyi road",Immigration Passport Office,1945,,6.4516147,3.4151181
asset_52b3079f3c,78,Federal Ministry Of Labour And Employment,Workshop/Offices,Lagos,Mainland,Yaba Skills Centre,Queens College,,,6.4932779,3.3883546
asset_1ac45bb11f,80,Federal Ministry Of Labour And Employment,Mixed Use,Nasarawa,Lafia,"Km 1, Doma Road, Lafia",Near Tudun Amba River,2012,,,
asset_8dcf214bd5,83,Federal Ministry Of Labour And Employment,Office Building,Plateau,Jos North,Dilimi,Terminus Market,,,,
asset_f1e8222b2b,85,Federal Ministry Of Labour And Employment,Land,Ondo,Ondo South,"Ondo-Obaile Road, Akure",Old Petrol Station,1990,,,
asset_ef366b1111,86,Federal Ministry Of Labour And Employment,Office Building,Sokoto,Sokoto South,"No,7 Dendo Street",St. Paul's Church Sokoto,,,,
asset_84efb163a2,88,Federal Ministry Of Labour And Employment,Office Building,Rivers State,Port Harcourt,"FML&E District, Labour Office",NICN,1960s,,,
asset_87e686a0c4,,FEDERAL MINISTRY OF COMMUNICATION AND DIGITAL ECONOMY,Office Building,,,,,,,,
asset_31a31c581c,89,Federal Ministry Of Communication And Digital Economy,Office Building,"FCT, Abuja",AMAC,"P.M.B. 12578 Federal Secretariat Complex Phase I, Annex III, Shehu Shagari Way, 900211, Abuja",Federal Ministry of Science and Technology,,,9.0552729,7.4662595
asset_6e1ffc7cca,93,Nigeria Communication Commission Annexe,Office Building,"FCT, Abuja",AMAC,"Plot 1253, Cadastral Zone C06 Behind Major Oil Services, Before CITEC Estate Jabi-Airport Road Mbora",Communication and Digital Economy Complex,,,9.0552729,7.4662595
asset_2a095e88f2,94,Galaxy Backbone Limited,Office Building,"FCT, Abuja",AMAC,"61 Adetokunbo Ademola Cres, Wuse 2 904101, Abuja",Fidelity Bank,,,9.0552729,7.4662595
asset_d3edaf5ff9,95,Federal Ministry Of Communication And Digital Economy Headquarters,Office Building,"FCT, Abuja",AMAC,"P.M.B. 12578 Federal Secretariat Complex Phase I, Annex III, Shehu Shagari Way, 900211, Abuja",Federal Ministry of Science and Technology,,,9.0552729,7.4662595
asset_1f1f472761,98,Nigerian Communications Satellite Ltd,Office Building,"FCT, Abuja",AMAC,"Olusegun Obasonjo Space Centre, Umar Yar'Adua ExpressWay, Lugbe","Abuja Trade Fair Centre, Airport Road",2007,,9.0552729,7.4662595
asset_36e3063cc3,,FEDERAL MINISTRY OF HEALTH,Office Building,,,,,,,,
asset_11781c5d37,101,Federal Ministry Of Health,Office Building,Abuja,AMAC,"3F6W+GMJ, New Federal Secretariat Complex, Ahmadu Bello Way, Phase III, Abuja",Federal Secretariat,,,9.0552729,7.4662595
asset_bcbed14b88,102,Federal Ministry Of Health,Office Building,Lagos,Lagos,"443 Herbert Macaulay Way, Yaba 101245, Lagos",National Health Insurance Scheme,,,6.4550575,3.3941795
asset_b40f026fbd,106,Post Health Services (PHS),Office Building,Delta,Warri,"6M3V+Q39, Central Area 320242, Asaba",Local Government Service Commission,,,5.5186186,5.7480196
asset_356e258d11,107,Post Health Services (PHS),Office Building,Sokoto,Sokoto,"Five Star Secretariat, 840103, Sokoto",Dan Talaka Restaurant,,,13.0610588,5.2373194
asset_467f7727cd,110,Post Health Services (PHS),Office Building,Lagos,"(Ikeja,Tincan,Apapa, Idiroko","34 Kudirat Abiola Way, Onigbongbo 101233, Ikeja",Oregun Busstop,,,6.4550575,3.3941795
asset_2ad83e1539,111,Post Health Services (PHS),Office Building,Kastina,Kastina,"XHRM+2QC, 820101, Katsina",WAEC Office,,,,
asset_1d4ee425d0,112,Post Health Services (PHS),Office Building,Kano,Kano,"2GH2+HCR, Kano City 700211, Kano",Army Day Boys Sec. School,,,11.9939978,8.5219738
asset_98540fa366,113,Post Health Services (PHS),Office Building,Taraba,Jalingo,"V9JF+4GV, 660213, Jalingo",Anur Academy,,,8.894985,11.360042
asset_190ef38486,114,Post Health Services (PHS),Office Building,Kwara,Ilorin,"GGQQ+6MC, Old winners, Kilanko, OFFA GARAGE RAILWAY LINE, Ilorin",MichConsult,,,8.4963657,4.5480484
asset_d5a6dd0b73,115,Post Health Services (PHS),Office Building,Oyo,Ibadan,"Governor's Office, Secretariat-Agodi Road, behind Oyo State, 201103, Ibadan",Olaiya Food Canteen,,,7.3786064,3.8969928
asset_bfaa7e146e,116,Post Health Services (PHS),Office Building,Jigawa,Dutse,"P972+5FX, Azare-Dutse Rd, 720101, Dutse",NYSC Secretairiat,,,11.6909859,9.3390747
asset_2a7ba1cfaa,117,Post Health Services (PHS),Office Building,Yobe,Damaturu,"PXG4+V9X, 620101, Damaturu",Rufaidah Yoghurt and Fura,,,11.747,11.9608
asset_bc7a67cae0,118,Post Health Services (PHS),Office Building,Cross River,Calabar,,,,,4.9795999,8.3373597
asset_0c0dc9e762,121,PHC Tutors Programme UCH,Office Building,Oyo,Ibadan,"Queen Elizabeth II Road, Agodi",UCH Bus Stop,,,7.3786064,3.8969928
asset_77b3f7a263,122,PHC Tutors Programme KADUNA Polytechnic,Office Building,Kaduna,Kaduna,Kaduna Polytechnic,Elegance Boutique,,,10.5223452,7.44098
asset_3039517782,123,Pharmacist Council Of Nigeria,Office Building,Abuja,AMAC,"9 Idu Industrial Layout, Idogwari 900106, Abuja",Antec Contruction Nig Ltd,,,9.0552729,7.4662595
asset_eadbf05464,124,Pharmacist Council Of Nigeria,Office Building,Lagos,Yaba,"443 Herbert Macaulay Way, Yaba 101245, Lagos",Less to More Fashion Design School,,,6.5114693,3.3699982
asset_e19af4adf7,125,Pharmacist Council Of Nigeria,Office Building,Anambra,Awka,"63FH+5WW, Amaku General Hospital Road, 420110, Awka",Amaku General Hospital Road,,,6.218947,7.0774372
asset_9ebdefbd80,126,Pharmacist Council Of Nigeria,Office Building,Enugu,Enugu,"35, Nkwubor Road",,,,6.5014735,7.5997906
asset_a1066e1058,127,Pharmacist Council Of Nigeria,Office Building,Kano,Kano,Ibrahim Taiwo Road,,,,11.9927342,8.533153
asset_aa367a962b,128,Optometrist And Dispensing Opticians Board Of Nigeria,Office Building,Abuja,Karu,Lot 5070/5071 Unity Esate Karu site,,,,9.0113522,7.5750527
asset_2b473eb28a,129,Nursing And Midwifery Council,Office Building,Abuja,AMAC,"Plot 713, Cadastral Zone
Olu Awotesu St, Life Camp, Gwarinpa",,,,9.0552729,7.4662595
asset_d362e3017d,130,Nursing And Midwifery Council,Office Building,Lagos,Yaba,"Central Medical Library Compound, Murtala Mohammed Way",Opposite Yaba Bus Stop,,,6.5114693,3.3699982
asset_a6aeb6a600,131,Nursing And Midwifery Council,Office Building,Enugu,Enugu,"10B Amawbia Close, Opposite New Haven Police Station",,,,6.4496519,7.5136856
asset_cc2ddc896e,132,Nursing And Midwifery Council,Office Building,Kaduna,Kaduna,"Federal Government Secretariat, 3rd Floor, Room 320-322",,,,10.5182899,7.4359863
asset_3397e93139,133,Nursing And Midwifery Council,Office Building,Rivers,Port Harcourt,"9, Wami Street Beside OroworukwoCommuinity Town Hall",,,,4.7676576,7.0188527
asset_288a5bf735,134,Nursing And Midwifery Council,Office Building,Sokoto,Sokoto,"ShehuKangiwa State Secretariat
Block 4, Suite 3, Room 203
Birnin-Kebbi Road",,,,13.0610588,5.2373194
asset_e00acf0c76,135,Nurse Tutor Training,Office Building,Kaduna,Kaduna,,,,,10.5182899,7.4359863
asset_c25897d72a,136,Nurse Tutor Training,Office Building,Oyo,Ibadan,"Fanmilk Road, Eleyele",,,,7.3786064,3.8969928
asset_9ff18d9f3a,137,Nurse Tutor Training,Office Building,Enugu,Nsukka,"University Of Nigeria Teaching Hospital Road,",,,,6.8561,7.3927
asset_ee8a5a0bb4,138,Nurse Tutor Training,Office Building,Lagos,Akoka,"Federal College Of Education, Yaba",,,,6.5268308,3.3867915
asset_c64c94ac82,139,Noma Children Hospital,Office Building,Sokoto,Sokoto,Mamarun Nufawa,,,,13.0610588,5.2373194
asset_e3c4f0160e,140,Nigeria Institute Of Medical Research,Office Building,Lagos,Yaba,6 Edmund Crescent,,,,6.5147966,3.370673
asset_37cf793217,141,National Programme On Immunisation,Office Building,Abuja,AMAC,"Ahmadu Bello Way, Area 11, Garki",,,,9.0552729,7.4662595
asset_2ac8f543dc,142,National Primary Health Care Development Agency,Office Building,Abuja,AMAC,"Plot 681/682 Port Harcourt Crescent, Off Gimbiya Street, Area 11, Garki",,,,9.0552729,7.4662595
asset_b6c158679b,143,National Primary Health Care Development Agency Annexe,Office Building,Abuja,AMAC,"2 Uke Street, Area 11, Garki",,,,9.0552729,7.4662595
asset_8d9925b5ab,144,National Primary Health Care Development Agency Zonal Office North - Central,Office Building,Niger,Minna,No 12 Abattoir Road Eastern Bypass F â€“ layout,,,,9.6187093,6.5475752
asset_5460a51eb7,145,National Primary Health Care Development Agency Zonal Office North - East,Office Building,Bauchi,Bauchi,"15 Sambo Ilimi Industrial Area, Gudum",,,,10.3168749,9.8410189
asset_88c4984cfe,146,National Primary Health Care Development Agency Zonal Office North - West,Office Building,Bauchi,Bauchi,"NPHCDA, North West Zonal Office, Plot No. 46/47 Naiâ€™bawa, Zaira Road",,,,10.3168749,9.8410189
asset_0f3a9547a6,147,National Primary Health Care Development Agency Zonal Office South - East,Office Building,Enugu,Enugu,"No 11, FSP Avenue, Independence Layout",,,,6.4345637,7.5189978
asset_0e678dd342,148,National Primary Health Care Development Agency Zonal Office South - South,Office Building,Edo,Benin,"No 27, Sapele Road, Opposite Edo State Secretariat",,,,6.3330586,5.6221058
asset_4436486043,149,National Primary Health Care Development Agency Zonal Office South - West,Office Building,Oyo,Ibadan,"Former Cholera Building, Inside Jericho Hospital,  Jericho","Opposite Conoil Filling Station, After State Cold Store",,,7.3786064,3.8969928
asset_1e05c8ad1b,150,National Post Graduate Medical College Of Nigeria,Office Building,Lagos,Ijanikin,"Km 26 Lagos-Badagry Expressway, Ijanikin",,,,6.4907219,3.1579897
asset_0e3606fd9d,151,National Institute Of Pharmaceutical Research And Development,Office Building,Abuja,AMAC,"Plot 942, Cadastral Zone C16, Idu Industrial District 1B",,,,9.0552729,7.4662595
asset_e818a576e9,152,National Health Insurance Scheme,Office Building,Abuja,AMAC,"Plot 297, Shehu Yarâ€™adua Way, Utako District",,,,9.0552729,7.4662595
asset_fda9a46a5b,153,National Health Insurance Scheme Annexe,Office Building,Abuja,AMAC,"6 fria Close, Off Adetokunbo Ademola way, Wuse II",,,,9.0552729,7.4662595
asset_6c179dacec,154,National Health Insurance Scheme North Central A Zonal Office/ State Office,Office Building,Kwara,Ilorin,"Min of Health Premises, Basin Road, Fate, Ilorin",,,,8.4963657,4.5480484
asset_41d07ffd2e,155,National Health Insurance Scheme State Office,Office Building,Niger,Minna,"No. L14 Bala Shamaki Road, Beside Lebo Kutigi Centre, GRA",,,,9.6187093,6.5475752
asset_40c8d64f8f,156,National Health Insurance Scheme State Office,Office Building,Kogi,Lokoja,"GF 10 Marine Road, Behind Chuks Supermarket, Lokoja",,,,7.802355,6.7430327
asset_6a23646edc,157,National Health Insurance Scheme North Central B Zonal Office/ State Office,Office Building,Kwara,Ilorin,"No. 6, Alfayum, Wuse Zone 3, Abujan",,,,8.4963657,4.5480484
asset_3a0082cb79,158,National Health Insurance Scheme State Office,Office Building,Plateau,Jos,"No. 4, Mangu Road, GRA Jos",,,,9.9175125,8.8979401
asset_e2809fad73,159,National Health Insurance Scheme State Office,Office Building,Nasarawa,Lafia,"Plot BP 873, Baba Ajuji House, Lafia/Jos Road Express Way",Opposite Zenith Bank,,,8.4960459,8.5147636
asset_327e6b9d0b,160,National Health Insurance Scheme State Office,Office Building,Benue,Makurdi,"No. 16 Jonah Jang Road, Hudco Quarters, High Level",,,,7.7312634,8.538425
asset_a562da5fc0,161,National Health Insurance Scheme North East Zonal Office/ State Office,Office Building,Borno,Maiduguri,"No. 13, Damboa Road, Opposite Hospital Management Board",,,,11.8395375,13.1536214
asset_bf5376d1bf,162,National Health Insurance Scheme State Office,Office Building,Taraba,Jalingo,"Taraba State Office: No. 39 Donga Road, Jalingo",,,,8.894985,11.360042
asset_f82638ba51,163,National Health Insurance Scheme State Office,Office Building,Adamawa,Yola,"Adamawa State Office: No. 6 Ahmadu Bello Way, Jimeta",,,,9.2089255,12.4802485
asset_fd6a022c80,165,National Health Insurance Scheme State Office,Office Building,Bauchi,Bauchi,"No. 20 Airport Road, GRA Bauchi",,,,10.3168749,9.8410189
asset_e141d4faab,166,National Health Insurance Scheme State Office,Office Building,Borno,Maiduguri,NHIS Zonal Office Complex,,,,11.8395375,13.1536214
asset_e079f723c6,167,National Health Insurance Scheme State Office,Office Building,Gombe,Gombe,"Sarkin Funali Road, Opposite State Min of Education GRA, Gombe",,,,10.2822161,11.1629771
asset_1b911d523a,168,National Health Insurance Scheme State Office,Office Building,Yobe,Damaturu,"Sabon Pegi, Opposite Federal Polytechnic, Damaturu",,,,11.747,11.9608
asset_09861c5f01,169,National Health Insurance Scheme North West A Zonal Office,Office Building,Kaduna,Kaduna,"No. 1, Waziri Ibrahim Crescent, GRA Opposite Total Filling Station, Abakpa",,,,10.5182899,7.4359863
asset_322cef9349,170,National Health Insurance Scheme State Office,Office Building,Sokoto,Sokoto,"Plot 1721 Dange Road, Opp PHCN Office Mabera",,,,13.0610588,5.2373194
asset_79c579c688,172,National Health Insurance Scheme State Office,Office Building,Kebbi,Birnin Kebbi,"No. 5, Muhammad Adamu Aliero Road, Gesse II",,,,12.4573462,4.2006114
asset_a3989fceb5,173,National Health Insurance Scheme State Office,Office Building,Zamfara,Gusau,Anguwan Mallam Wakkala,Behind Government House,,,12.1658358,6.6606398
asset_70e77e924e,174,National Health Insurance Scheme North West B Zonal Office/ State Office,Office Building,Kano,Kano,"No. 1, Garki Road, Off Matan Fada Road, Nasarawa GRA",,,,11.9939978,8.5219738
asset_c20f9f5197,175,National Health Insurance Scheme  Zonal Office,Office Building,Jigwa,Dutse,Plot 196 A. Olayinka Sule Road,,,,,
asset_bdf94ccccd,176,National Health Insurance Scheme State Office,Office Building,Kastina,Kastina,No. 14 Hassan Usman Road,Opposite Maikudi Hotel,,,,
asset_473b640d0d,177,National Health Insurance Scheme South East Zonal Office/ State Office,Office Building,Enugu,Enugu,"No. 9, Honourable Sir Mathew Ugwueze Close, MSP Nkpokiti Estate",By House on the Rock,,,6.4496519,7.5136856
asset_86ea8b34c0,178,National Health Insurance Scheme State Office,Office Building,Abia,Umuahia,"No.5 Adelabu Street, Opposite CPS off Bende Road",,,,5.5324032,7.4924165
asset_f1ac430fe7,179,National Health Insurance Scheme State Office,Office Building,Anambra,Awka,"No. 37 Zik Avenue, Old CBN building",,,,6.218947,7.0774372
asset_211474bb27,180,National Health Insurance Scheme State Office,Office Building,Ebonyi,Abakaliki,"No. 3 Ezekunna Crescent, Off Nsugbe Street",By Motherless Babies Home,,,6.3208897,8.1133202
asset_37a3c12292,181,National Health Insurance Scheme State Office,Office Building,Imo,Owerri,"2 Shell Camp, Off Orlu Road by Central Mosque",,,,5.489736,7.0341973
asset_1d51c4af96,182,National Health Insurance Scheme South South Zonal Office/ State Office,Office Building,Edo,Benin,"No. 1, Omo Osagie, Opposite Golf Course",,,,6.3330586,5.6221058
asset_2aa734e891,183,National Health Insurance Scheme State Office,Office Building,Delta,Asaba,"No. 6A Paul Ojei Street, Off NTA Road",,,,6.1858825,6.7297071
asset_ae948bff3c,184,National Health Insurance Scheme State Office,Office Building,Bayelsa,Yenagoa,"No. 66 INEC Road, Kpanshia",,,,4.9334651,6.2747786
asset_41b2189031,185,National Health Insurance Scheme State Office,Office Building,Cross River,Calabar,"94. Atekong Drive, Opposite Sugarland, State Housing Estate",,,,4.9795999,8.3373597
asset_21c7b5b007,186,National Health Insurance Scheme State Office,Office Building,Edo,Benin,"No. 80, Sapele Road",,,,6.4720492,5.5948326
asset_71029a5e7c,187,National Health Insurance Scheme State Office,Office Building,Rivers,Port Harcourt,"No. 4, David Nna Estate, Off 1st Artillery Junction",,,,4.7676576,7.0188527
asset_3925427f4f,188,National Health Insurance Scheme State Office,Office Building,Akwa Ibom,Uyo,"No. 5, Utang Street, Off Wellington Bassey Way",,,,4.990237,7.9974399
asset_ee221164b6,189,National Health Insurance Scheme South West Zonal Office,Office Building,Oyo,Ibadan,"No. 2, Block 12, Oba Akinyele Drive, Oke Ibadan, Agodi",,,,7.3786064,3.8969928
asset_933867a3fa,190,National Health Insurance Scheme State Office,Office Building,Osun,Oshogbo,"Ogo Oluwa Villa, Opposite Old NITEL Building, Okefia",,,,7.7791666,4.5538891
asset_1c87b210e8,191,National Health Insurance Scheme State Office,Office Building,Oyo,Ibadan,"No. 3, Oba Akinyele Drive, Oke Ibadan Agodi",,,,7.3786064,3.8969928
asset_4cfffcee0e,192,National Health Insurance Scheme State Office,Office Building,Ekiti,Ado-Ekiti,"Shelterview Complex, Nova Road",,,,7.6232482,5.22274
asset_ba95d5655f,193,National Health Insurance Scheme State Office,Office Building,Ondo,Akure,"No. 12, Aule Road, Off Ilesa Road",,,,7.2525595,5.1932647
asset_b99fc61628,194,National Health Insurance Scheme State Office,Office Building,Ogun,Abeokuta,"J.T. Ayorinde Memorial Building, Owu Baptist Church Complex Totoro",,,,7.161,3.348
asset_09b87232e8,195,National Health Insurance Scheme Lagos Zonal Office/ State Office,Office Building,Lagos,Yaba,"443, Herbert Marcaulay Street",,,,6.5114693,3.3699982
asset_2ae305299c,196,National Health Insurance Scheme State Office,Office Building,Lagos,Ikeja,"112, Obafemi Awolowo Way",,,,6.5960449,3.3387316
asset_3bd705db8e,197,National Health Equipment Training Center,Office Building,Enugu,Enugu,"Dental Ave, Trans-Ekulu,",,,,6.4825251,7.4956203
asset_730af7343a,199,National Arbovirus And Vector Research,Office Building,Enugu,Enugu,"4 Park Lane, GRA, Enugu",,,,6.4496519,7.5136856
asset_6bfd421302,200,National Agency For Food And Drug Administration And Control Headquarters,Office Building,Abuja,AMAC,"Plot 2032, Olusegun, Obasanjo Way, Zone 7, Wuse, Abuja, Nigeria",,,,9.0552729,7.4662595
asset_493f3be644,201,National Agency For Food And Drug Administration And Control Operations,Office Building,Lagos,Isolo,"Plot 1, Industrial Estate, Lagos- Oshodi Apapa Express Way",,,,6.5285086,3.3187801
